"","no","ka"
"1","1","一"
"2","2","二"
"3","3","三"
"4","4","四"
"5","5","五"
"6","6","六"
"7","7","七"
"8","8","八"
"9","9","九"
"10","10","十"
"11","11","口"
"12","12","日"
"13","13","月"
"14","14","田"
"15","15","目"
"16","16","古"
"17","17","吾"
"18","18","冒"
"19","19","朋"
"20","20","明"
"21","21","唱"
"22","22","晶"
"23","23","品"
"24","24","呂"
"25","25","昌"
"26","26","早"
"27","27","旭"
"28","28","世"
"29","29","胃"
"30","30","旦"
"31","31","胆"
"32","32","亘"
"33","33","凹"
"34","34","凸"
"35","35","旧"
"36","36","自"
"37","37","白"
"38","38","百"
"39","39","中"
"40","40","千"
"41","41","舌"
"42","42","升"
"43","43","昇"
"44","44","丸"
"45","45","寸"
"46","46","専"
"47","47","博"
"48","48","占"
"49","49","上"
"50","50","下"
"51","51","卓"
"52","52","朝"
"53","53","只"
"54","54","貝"
"55","55","貞"
"56","56","員"
"57","57","見"
"58","58","児"
"59","59","元"
"60","60","頁"
"61","61","頑"
"62","62","凡"
"63","63","負"
"64","64","万"
"65","65","句"
"66","66","肌"
"67","67","旬"
"68","68","勺"
"69","69","的"
"70","70","首"
"71","71","乙"
"72","72","乱"
"73","73","直"
"74","74","具"
"75","75","真"
"76","76","工"
"77","77","左"
"78","78","右"
"79","79","有"
"80","80","賄"
"81","81","貢"
"82","82","項"
"83","83","刀"
"84","84","刃"
"85","85","切"
"86","86","召"
"87","87","昭"
"88","88","則"
"89","89","副"
"90","90","別"
"91","91","丁"
"92","92","町"
"93","93","可"
"94","94","頂"
"95","95","子"
"96","96","孔"
"97","97","了"
"98","98","女"
"99","99","好"
"100","100","如"
"101","101","母"
"102","102","貫"
"103","103","兄"
"104","104","克"
"105","105","小"
"106","106","少"
"107","107","大"
"108","108","多"
"109","109","夕"
"110","110","汐"
"111","111","外"
"112","112","名"
"113","113","石"
"114","114","肖"
"115","115","硝"
"116","116","砕"
"117","117","砂"
"118","118","削"
"119","119","光"
"120","120","太"
"121","121","器"
"122","122","臭"
"123","123","妙"
"124","124","省"
"125","125","厚"
"126","126","奇"
"127","127","川"
"128","128","州"
"129","129","順"
"130","130","水"
"131","131","氷"
"132","132","永"
"133","133","泉"
"134","134","原"
"135","135","願"
"136","136","泳"
"137","137","沼"
"138","138","沖"
"139","139","江"
"140","140","汁"
"141","141","潮"
"142","142","源"
"143","143","活"
"144","144","消"
"145","145","況"
"146","146","河"
"147","147","泊"
"148","148","湖"
"149","149","測"
"150","150","土"
"151","151","吐"
"152","152","圧"
"153","153","埼"
"154","154","垣"
"155","155","圭"
"156","156","封"
"157","157","涯"
"158","158","寺"
"159","159","時"
"160","160","均"
"161","161","火"
"162","162","炎"
"163","163","煩"
"164","164","淡"
"165","165","灯"
"166","166","畑"
"167","167","災"
"168","168","灰"
"169","169","点"
"170","170","照"
"171","171","魚"
"172","172","漁"
"173","173","里"
"174","174","黒"
"175","175","墨"
"176","176","鯉"
"177","177","量"
"178","178","厘"
"179","179","埋"
"180","180","同"
"181","181","洞"
"182","182","胴"
"183","183","向"
"184","184","尚"
"185","185","字"
"186","186","守"
"187","187","完"
"188","188","宣"
"189","189","宵"
"190","190","安"
"191","191","宴"
"192","192","寄"
"193","193","富"
"194","194","貯"
"195","195","木"
"196","196","林"
"197","197","森"
"198","198","桂"
"199","199","柏"
"200","200","枠"
"201","201","梢"
"202","202","棚"
"203","203","杏"
"204","204","桐"
"205","205","植"
"206","206","枯"
"207","207","朴"
"208","208","村"
"209","209","相"
"210","210","机"
"211","211","本"
"212","212","札"
"213","213","暦"
"214","214","案"
"215","215","燥"
"216","216","未"
"217","217","末"
"218","218","沫"
"219","219","味"
"220","220","妹"
"221","221","朱"
"222","222","株"
"223","223","若"
"224","224","草"
"225","225","苦"
"226","226","寛"
"227","227","薄"
"228","228","葉"
"229","229","模"
"230","230","漠"
"231","231","墓"
"232","232","暮"
"233","233","膜"
"234","234","苗"
"235","235","兆"
"236","236","桃"
"237","237","眺"
"238","238","犬"
"239","239","状"
"240","240","黙"
"241","241","然"
"242","242","荻"
"243","243","狩"
"244","244","猫"
"245","245","牛"
"246","246","特"
"247","247","告"
"248","248","先"
"249","249","洗"
"250","250","介"
"251","251","界"
"252","252","茶"
"253","253","合"
"254","254","塔"
"255","255","王"
"256","256","玉"
"257","257","宝"
"258","258","珠"
"259","259","現"
"260","260","狂"
"261","261","皇"
"262","262","呈"
"263","263","全"
"264","264","栓"
"265","265","理"
"266","266","主"
"267","267","注"
"268","268","柱"
"269","269","金"
"270","270","銑"
"271","271","鉢"
"272","272","銅"
"273","273","釣"
"274","274","針"
"275","275","銘"
"276","276","鎮"
"277","277","道"
"278","278","導"
"279","279","辻"
"280","280","迅"
"281","281","造"
"282","282","迫"
"283","283","逃"
"284","284","辺"
"285","285","巡"
"286","286","車"
"287","287","連"
"288","288","軌"
"289","289","輸"
"290","290","前"
"291","291","各"
"292","292","格"
"293","293","略"
"294","294","客"
"295","295","額"
"296","296","夏"
"297","297","処"
"298","298","条"
"299","299","落"
"300","300","冗"
"301","301","軍"
"302","302","輝"
"303","303","運"
